food_code,Product_Name,Prep_Time_min,Calories_kcal,Sodium_mg,SatFat_g,TotalSugar_g,Category,Price_USD
72201222,"Broccoli, frozen, cooked, fat added, NS as to fat type",5.0,125.0,330.0,1.7100000000000002,3.5749999999999997,Frozen and Ready Meals,0.9233800000000001
58148130,Macaroni or pasta salad with tuna,10.0,500.0,515.0,3.9475,3.9250000000000003,Macaroni and Pasta,0.92389
75311028,"Classic mixed vegetables, frozen, cooked with butter or margarine",5.0,207.5,407.5,2.435,7.574999999999999,Frozen and Ready Meals,0.9250475
58146402,"Pasta with cream sauce and meat, home recipe",10.0,410.0,627.5,10.02,1.6,Macaroni and Pasta,0.9303625
73102224,"Carrots, frozen, cooked with oil",5.0,160.0,440.0,0.97,10.175,Frozen and Ready Meals,0.93069
27343520,"Chicken or turkey, noodles, and vegetables excluding carrots, broccoli, and dark-green leafy; tomato-based sauce",3.0,335.0,855.0,2.3575,3.875,Instant Noodles and Soups,0.93259625
58145120,Macaroni or noodles with cheese and tuna,3.0,410.0,440.0,6.705,7.075,Instant Noodles and Soups,0.9327025
71505050,"Potato tots, frozen, fried",5.0,592.5,1052.5,5.7875,0.7000000000000001,Frozen and Ready Meals,0.9342525
73102222,"Carrots, frozen, cooked, fat added, NS as to fat type",5.0,152.5,462.5,1.665,10.175,Frozen and Ready Meals,0.9361825
58148160,Macaroni or pasta salad with tuna and egg,10.0,492.5,500.0,4.2725,3.825,Macaroni and Pasta,0.939895
73102225,"Carrots, frozen, cooked with butter or margarine",5.0,142.5,482.5,2.36,10.2,Frozen and Ready Meals,0.941675
27343510,"Chicken or turkey, noodles, and vegetables including carrots, broccoli, and/or dark-green leafy; tomato-based sauce",3.0,325.0,870.0,2.355,4.0,Instant Noodles and Soups,0.941965
58146702,"Pasta, whole grain, with cream sauce and meat, home recipe",10.0,400.0,630.0,10.1075,1.85,Macaroni and Pasta,0.9428075
58146432,"Pasta with cream sauce, poultry, and added vegetables, home recipe",10.0,365.0,497.5,7.047499999999999,2.15,Macaroni and Pasta,0.94376375
58146433,"Pasta with cream sauce, poultry, and added vegetables, ready-to-heat",10.0,397.5,837.5,7.5,2.1,Macaroni and Pasta,0.9440999999999999
58146431,"Pasta with cream sauce, poultry, and added vegetables, restaurant",10.0,490.0,1287.5,8.79,1.975,Macaroni and Pasta,0.9479500000000001
27343470,"Chicken or turkey, noodles, and vegetables including carrots, broccoli, and/or dark-green leafy; cream sauce, white sauce, or mushroom sauce",3.0,320.0,845.0,2.615,2.8000000000000003,Instant Noodles and Soups,0.9508725
58146732,"Pasta, whole grain, with cream sauce, poultry, and added vegetables, home recipe",10.0,352.5,502.5,7.135,2.375,Macaroni and Pasta,0.9536825
58148117,"Macaroni or pasta salad, made with light creamy dressing",10.0,307.5,525.0,1.2325,4.45,Macaroni and Pasta,0.965085
71401032,"Potato, french fries, from frozen, fried",5.0,562.5,737.5,4.965,0.8500000000000001,Frozen and Ready Meals,0.968465
75204022,"Lima beans, from frozen, fat added",5.0,307.5,470.0,1.8525,3.25,Frozen and Ready Meals,0.96924
71401020,"Potato, french fries, from frozen, baked",5.0,395.0,810.0,2.12,0.925,Frozen and Ready Meals,0.978515
58146413,"Pasta with cream sauce, meat, and added vegetables, ready-to-heat",10.0,415.0,840.0,8.505,2.1,Macaroni and Pasta,0.9818150000000001
71401000,"Potato, french fries, NS as to fresh or frozen",5.0,562.5,737.5,4.965,0.8500000000000001,Frozen and Ready Meals,0.98461625
27450040,"Shrimp chow mein or chop suey, no noodles",3.0,172.5,657.5,0.9299999999999999,4.3,Instant Noodles and Soups,0.9864575
27212050,Beef and macaroni with cheese sauce,10.0,342.5,985.0,5.4425,3.75,Macaroni and Pasta,0.9883949999999999
75216122,"Corn, frozen, cooked, fat added, NS as to fat type",5.0,252.5,305.0,1.915,7.45,Frozen and Ready Meals,0.99322625
58146412,"Pasta with cream sauce, meat, and added vegetables, home recipe",10.0,382.5,500.0,8.075,2.15,Macaroni and Pasta,1.0007000000000001
42303100,"Peanut butter and jelly sandwich, frozen commercial product without crusts",5.0,902.5,920.0,8.4775,37.5,Frozen and Ready Meals,1.0012925
27343020,"Chicken or turkey, noodles, and vegetables excluding carrots, broccoli, and dark-green leafy; no sauce",3.0,377.5,880.0,2.355,2.0749999999999997,Instant Noodles and Soups,1.0046887500000001
27343480,"Chicken or turkey, noodles, and vegetables excluding carrots, broccoli, and/or dark-green leafy; cream sauce, white sauce, or mushroom sauce",3.0,330.0,862.5,2.615,2.6750000000000003,Instant Noodles and Soups,1.011795
73111222,"Peas and carrots, frozen, cooked, fat added",5.0,200.0,470.0,1.7249999999999999,10.425,Frozen and Ready Meals,1.0200974999999999
27343960,"Chicken or turkey, noodles, and vegetables excluding carrots, broccoli, and dark-green leafy; cheese sauce",3.0,372.5,850.0,6.545,1.7249999999999999,Instant Noodles and Soups,1.0292375
75224022,"Green peas, frozen, cooked, no added fat",5.0,195.0,470.0,0.1225,10.975,Frozen and Ready Meals,1.02925375
75216137,"Corn, frozen, cooked with oil",5.0,262.5,282.5,1.22,7.425000000000001,Frozen and Ready Meals,1.030665
27212100,Beef and noodles with tomato-based sauce,3.0,287.5,685.0,3.8425,5.05,Instant Noodles and Soups,1.03387875
75205022,"Green beans, frozen, cooked, no added fat",5.0,70.0,292.5,0.10999999999999999,4.675000000000001,Frozen and Ready Meals,1.04063375
58145136,"Macaroni or noodles with cheese and meat, prepared from Hamburger Helper mix",3.0,360.0,710.0,7.4750000000000005,5.825,Instant Noodles and Soups,1.05283375
75205047,"Green beans, frozen, cooked with oil",5.0,132.5,282.5,1.0775,4.55,Frozen and Ready Meals,1.06358
75205048,"Green beans, frozen, cooked with butter or margarine",5.0,117.5,327.5,2.4675,4.575,Frozen and Ready Meals,1.0682575
27343420,"Chicken or turkey, noodles, and vegetables excluding carrots, broccoli, and dark-green leafy; gravy",3.0,325.0,860.0,2.3400000000000003,1.75,Instant Noodles and Soups,1.07856
75216138,"Corn, frozen, cooked with butter or margarine",5.0,245.0,327.5,2.6100000000000003,7.45,Frozen and Ready Meals,1.0865325000000001
75216112,"Corn, frozen, cooked, no added fat",5.0,202.5,292.5,0.2575,7.65,Frozen and Ready Meals,1.09395
75224046,"Green peas, frozen, cooked with oil",5.0,255.0,455.0,1.09,10.649999999999999,Frozen and Ready Meals,1.0985200000000002
75224032,"Green peas, frozen, cooked, fat added, NS as to fat type",5.0,245.0,477.5,1.785,10.649999999999999,Frozen and Ready Meals,1.1040125
27242310,Chicken or turkey and noodles with cheese sauce,3.0,365.0,852.5,6.8100000000000005,0.6,Instant Noodles and Soups,1.10614875
58148114,"Macaroni or pasta salad, made with Italian dressing",10.0,332.5,565.0,1.46,5.925000000000001,Macaroni and Pasta,1.10729
75224047,"Green peas, frozen, cooked with butter or margarine",5.0,237.5,497.5,2.4775,10.674999999999999,Frozen and Ready Meals,1.109505
27343410,"Chicken or turkey, noodles, and vegetables including carrots, broccoli, and/or dark-green leafy; gravy",3.0,322.5,837.5,2.475,1.875,Instant Noodles and Soups,1.1102475
27320080,"Sausage, noodles, and vegetables excluding carrots, broccoli, and dark-green leafy; tomato-based sauce",3.0,327.5,952.5,3.83,4.35,Instant Noodles and Soups,1.1120375
27320025,"Ham or pork, noodles and vegetables excluding carrots, broccoli, and dark-green leafy; no sauce",3.0,377.5,782.5,2.8725,2.1,Instant Noodles and Soups,1.1144375
75205032,"Green beans, frozen, cooked, fat added, NS as to fat type",5.0,125.0,305.0,1.7725,4.55,Frozen and Ready Meals,1.12729875
58148116,"Macaroni or pasta salad, made with creamy dressing",10.0,390.0,515.0,2.7024999999999997,4.125,Macaroni and Pasta,1.14062625
72107212,"Collards, frozen, cooked, no added fat",5.0,90.0,415.0,0.15,1.4249999999999998,Frozen and Ready Meals,1.1469825
58146361,"Pasta with tomato-based sauce and seafood, restaurant",10.0,415.0,982.5,2.71,5.6499999999999995,Macaroni and Pasta,1.1507125
72107231,"Collards, frozen, cooked with butter or margarine",5.0,137.5,445.0,2.505,1.4000000000000001,Frozen and Ready Meals,1.155025
27320027,"Ham or pork, noodles, and vegetables including carrots, broccoli, and/or dark-green leafy; no sauce",3.0,370.0,755.0,2.9625000000000004,2.275,Instant Noodles and Soups,1.1574550000000001
58146362,"Pasta with tomato-based sauce and seafood, home recipe",10.0,282.5,522.5,0.44999999999999996,6.1,Macaroni and Pasta,1.161405
58146662,"Pasta, whole grain, with tomato-based sauce and seafood, home recipe",10.0,270.0,525.0,0.5375,6.35,Macaroni and Pasta,1.17385
75220012,"Okra, frozen, cooked, no added fat",5.0,72.5,297.5,0.1575,7.1499999999999995,Frozen and Ready Meals,1.18905
75220022,"Okra, frozen, cooked, fat added",5.0,127.5,310.0,1.8175,6.949999999999999,Frozen and Ready Meals,1.19038
55100020,"Pancakes, fruit, frozen",5.0,560.0,1095.0,2.7675,20.825,Frozen and Ready Meals,1.1913637499999998
27343950,"Chicken or turkey, noodles, and vegetables including carrots, broccoli, and/or dark-green leafy; cheese sauce",3.0,362.5,865.0,6.5425,1.85,Instant Noodles and Soups,1.1974725
75209022,"Brussels sprouts, frozen, cooked, fat added",5.0,160.0,340.0,1.8625,5.05,Frozen and Ready Meals,1.1988425
75209012,"Brussels sprouts, frozen, cooked, no added fat",5.0,105.0,327.5,0.2025,5.175,Frozen and Ready Meals,1.2011525
72201212,"Broccoli, frozen, cooked, no added fat",5.0,70.0,317.5,0.045,3.675,Frozen and Ready Meals,1.2034824999999998
56130000,"Pasta, cooked",10.0,392.5,580.0,0.4375,1.4000000000000001,Macaroni and Pasta,1.2068400000000001
58145170,Macaroni or noodles with cheese and egg,3.0,462.5,440.0,8.462499999999999,7.4,Instant Noodles and Soups,1.22154875
72201227,"Broccoli, frozen, cooked with butter or margarine",5.0,117.5,350.0,2.4025,3.5749999999999997,Frozen and Ready Meals,1.2235525
92101920,Frozen coffee drink,5.0,170.0,52.5,1.3050000000000002,32.9,Frozen and Ready Meals,1.23289875
75214012,"Cauliflower, frozen, cooked, no added fat",5.0,47.5,335.0,0.085,2.625,Frozen and Ready Meals,1.23466625
27212000,"Beef and noodles, no sauce",3.0,472.5,942.5,6.7225,0.65,Instant Noodles and Soups,1.2535399999999999
92102000,Frozen mocha coffee drink,5.0,165.0,85.0,1.2675,30.425,Frozen and Ready Meals,1.2539624999999999
58146371,"Pasta with tomato-based sauce, seafood, and added vegetables, restaurant",10.0,410.0,892.5,2.6875,5.175,Macaroni and Pasta,1.2702849999999999
27313220,"Beef, noodles, and vegetables excluding carrots, broccoli, and dark-green leafy; tomato-based sauce",3.0,325.0,765.0,2.595,3.9000000000000004,Instant Noodles and Soups,1.2785725000000001
58146372,"Pasta with tomato-based sauce, seafood, and added vegetables, home recipe",10.0,277.5,427.5,0.42750000000000005,5.575,Macaroni and Pasta,1.2904974999999999
72201226,"Broccoli, frozen, cooked with oil",5.0,132.5,307.5,1.0150000000000001,3.55,Frozen and Ready Meals,1.29936
55100010,"Pancakes, plain, frozen",5.0,582.5,1152.5,2.905,20.8,Frozen and Ready Meals,1.30215
58146672,"Pasta, whole grain, with tomato-based sauce, seafood, and added vegetables, home recipe",10.0,265.0,430.0,0.5125,5.825,Macaroni and Pasta,1.3029425
27212300,Beef and noodles with cream or white sauce,3.0,350.0,732.5,5.2025,3.9000000000000004,Instant Noodles and Soups,1.3155700000000001
92101925,"Frozen coffee drink, with whipped cream",5.0,207.5,52.5,3.9425,31.549999999999997,Frozen and Ready Meals,1.3158737500000002
55100030,"Pancakes, whole grain, frozen",5.0,580.0,1117.5,2.8649999999999998,20.2,Frozen and Ready Meals,1.3168625
28110300,"Salisbury steak dinner, NFS, frozen meal",5.0,365.0,670.0,9.695,3.375,Frozen and Ready Meals,1.3194062500000001
58146441,"Pasta with cream sauce and seafood, restaurant",10.0,505.0,1430.0,10.242500000000001,1.4749999999999999,Macaroni and Pasta,1.3334700000000002
75233012,"Summer squash, yellow or green, frozen, cooked, no added fat",5.0,52.5,300.0,0.0825,5.0,Frozen and Ready Meals,1.33686
27343010,"Chicken or turkey, noodles, and vegetables including carrots, broccoli, and/or dark-green leafy; no sauce",3.0,367.5,877.5,2.3725,2.25,Instant Noodles and Soups,1.3375724999999998
28101000,"Frozen dinner, NFS",5.0,365.0,670.0,9.695,3.375,Frozen and Ready Meals,1.3441049999999999
28110310,"Salisbury steak with gravy, potatoes, vegetable, frozen meal",5.0,365.0,670.0,9.695,3.375,Frozen and Ready Meals,1.3443762499999998
72125222,"Spinach, frozen, cooked, fat added, NS as to fat type",5.0,140.0,537.5,2.045,1.25,Frozen and Ready Meals,1.35304625
58146442,"Pasta with cream sauce and seafood, home recipe",10.0,380.0,652.5,8.62,1.6,Macaroni and Pasta,1.36263625
92101921,"Frozen coffee drink, nonfat",5.0,152.5,55.0,0.0925,33.075,Frozen and Ready Meals,1.36613375
58146451,"Pasta with cream sauce, seafood, and added vegetables, restaurant",10.0,477.5,1312.5,8.445,1.975,Macaroni and Pasta,1.377155
27313310,"Beef, noodles, and vegetables including carrots, broccoli, and/or dark-green leafy; mushroom sauce",3.0,312.5,757.5,2.8899999999999997,2.8249999999999997,Instant Noodles and Soups,1.3855975
72118222,"Greens, frozen, cooked, fat added",5.0,147.5,375.0,1.9025,1.9,Frozen and Ready Meals,1.396885
27212400,Beef and noodles with mushroom sauce,3.0,340.0,775.0,3.145,2.0,Instant Noodles and Soups,1.4034625
72118212,"Greens, frozen, cooked, no added fat",5.0,92.5,365.0,0.245,1.9500000000000002,Frozen and Ready Meals,1.4119350000000002
58146452,"Pasta with cream sauce, seafood, and added vegetables, home recipe",10.0,352.5,525.0,6.675,2.15,Macaroni and Pasta,1.4141624999999998
